#histogram type: discrete-time histogram
#service_time-customer
#lowerBound ; upperBound ; relative frequency
0,0;400000,0;1,0
400000,0;800000,0;0,0
800000,0;1200000,0;0,0
1200000,0;1600000,0;0,0
1600000,0;2000000,0;0,0
2000000,0;2400000,0;0,0
2400000,0;2800000,0;0,0
2800000,0;3200000,0;0,0
3200000,0;3600000,0;0,0
3600000,0;4000000,0;0,0
4000000,0;4400000,0;0,0
4400000,0;4800000,0;0,0
4800000,0;5200000,0;0,0
5200000,0;5600000,0;0,0
5600000,0;6000000,0;0,0
6000000,0;6400000,0;0,0
6400000,0;6800000,0;0,0
6800000,0;7200000,0;0,0
7200000,0;7600000,0;0,0
7600000,0;8000000,0;0,0
8000000,0;8400000,0;0,0
8400000,0;8800000,0;0,0
8800000,0;9200000,0;0,0
9200000,0;9600000,0;0,0
9600000,0;1,0E7;0,0
1,0E7;1,04E7;0,0
1,04E7;1,08E7;0,0
1,08E7;1,12E7;0,0
1,12E7;1,16E7;0,0
1,16E7;1,2E7;0,0
1,2E7;1,24E7;0,0
1,24E7;1,28E7;0,0
1,28E7;1,32E7;0,0
1,32E7;1,36E7;0,0
1,36E7;1,4E7;0,0
1,4E7;1,44E7;0,0
1,44E7;1,48E7;0,0
1,48E7;1,52E7;0,0
1,52E7;1,56E7;0,0
1,56E7;1,6E7;0,0
1,6E7;1,64E7;0,0
1,64E7;1,68E7;0,0
1,68E7;1,72E7;0,0
1,72E7;1,76E7;0,0
1,76E7;1,8E7;0,0
1,8E7;1,84E7;0,0
1,84E7;1,88E7;0,0
1,88E7;1,92E7;0,0
1,92E7;1,96E7;0,0
1,96E7;2,0E7;0,0
